,0,1,2
0,281,765,-1
1,203,604,-1
2,203,606,-1
3,203,607,-1
4,203,608,-1
5,203,609,-1
6,203,611,-1
7,203,613,-1
8,203,615,-1
9,203,616,-1
10,203,617,-1
11,203,618,-1
12,203,619,-1
13,203,621,-1
14,203,622,-1
15,203,623,-1
16,203,625,-1
17,203,626,-1
18,203,627,-1
19,203,628,-1
20,203,603,-1
21,203,602,-1
22,203,601,-1
23,203,599,-1
24,203,572,-1
25,203,574,-1
26,203,575,-1
27,203,576,-1
28,203,577,-1
29,203,578,-1
30,203,580,-1
31,203,582,-1
32,203,583,-1
33,203,629,-1
34,203,584,-1
35,203,586,-1
36,203,587,-1
37,203,589,-1
38,203,590,-1
39,203,592,-1
40,203,593,-1
41,203,595,-1
42,203,596,-1
43,203,598,-1
44,203,585,-1
45,203,570,-1
46,203,630,-1
47,203,632,-1
48,203,666,-1
49,203,669,-1
50,203,670,-1
51,203,673,-1
52,203,674,-1
53,203,675,-1
54,203,678,-1
55,203,680,-1
56,203,682,-1
57,203,683,-1
58,203,684,-1
59,203,685,-1
60,203,686,-1
61,203,687,-1
62,203,688,-1
63,203,689,-1
64,203,690,-1
65,203,691,-1
66,203,692,-1
67,203,665,-1
68,203,664,-1
69,203,663,-1
70,203,661,-1
71,203,634,-1
72,203,636,-1
73,203,637,-1
74,203,640,-1
75,203,641,-1
76,203,642,-1
77,203,643,-1
78,203,644,-1
79,203,646,-1
80,203,631,-1
81,203,647,-1
82,203,649,-1
83,203,650,-1
84,203,651,-1
85,203,655,-1
86,203,656,-1
87,203,657,-1
88,203,658,-1
89,203,659,-1
90,203,660,-1
91,203,648,-1
92,203,693,-1
93,203,569,-1
94,202,787,-1
95,202,602,-1
96,202,609,-1
97,202,611,-1
98,202,615,-1
99,202,616,-1
100,202,617,-1
101,202,618,-1
102,202,619,-1
103,202,620,-1
104,202,621,-1
105,202,622,-1
106,202,626,-1
107,202,633,-1
108,202,636,-1
109,202,640,-1
110,202,641,-1
111,202,642,-1
112,202,643,-1
113,202,644,-1
114,202,600,-1
115,202,597,-1
116,202,596,-1
117,202,591,-1
118,201,778,-1
119,201,780,-1
120,201,781,-1
121,201,782,-1
122,201,783,-1
123,201,784,-1
124,201,785,-1
125,201,786,-1
126,201,787,-1
127,202,647,-1
128,201,788,-1
129,202,570,-1
130,202,574,-1
131,202,580,-1
132,202,581,-1
133,202,582,-1
134,202,584,-1
135,202,586,-1
136,202,587,-1
137,202,590,-1
138,201,789,-1
139,203,568,-1
140,202,654,-1
141,202,664,-1
142,202,741,-1
143,202,742,-1
144,202,744,-1
145,202,747,-1
146,202,750,-1
147,202,752,-1
148,202,755,-1
149,202,756,-1
150,202,757,-1
151,202,761,-1
152,202,766,-1
153,202,767,-1
154,202,772,-1
155,202,773,-1
156,202,774,-1
157,202,782,-1
158,202,783,-1
159,202,784,-1
160,202,785,-1
161,202,738,-1
162,202,735,-1
163,202,732,-1
164,202,730,-1
165,202,665,-1
166,202,666,-1
167,202,681,-1
168,202,683,-1
169,202,685,-1
170,202,686,-1
171,202,687,-1
172,202,693,-1
173,202,695,-1
174,202,663,-1
175,202,697,-1
176,202,701,-1
177,202,702,-1
178,202,710,-1
179,202,713,-1
180,202,717,-1
181,202,720,-1
182,202,721,-1
183,202,724,-1
184,202,728,-1
185,202,699,-1
186,203,694,-1
187,203,695,-1
188,203,697,-1
189,204,643,-1
190,204,645,-1
191,204,646,-1
192,204,647,-1
193,204,648,-1
194,204,650,-1
195,204,651,-1
196,204,652,-1
197,204,653,-1
198,204,654,-1
199,204,655,-1
200,204,656,-1
201,204,658,-1
202,204,659,-1
203,204,660,-1
204,204,661,-1
205,204,662,-1
206,204,663,-1
207,204,664,-1
208,204,642,-1
209,204,641,-1
210,204,640,-1
211,204,636,-1
212,204,606,-1
213,204,607,-1
214,204,608,-1
215,204,609,-1
216,204,612,-1
217,204,613,-1
218,204,615,-1
219,204,617,-1
220,204,618,-1
221,204,665,-1
222,204,619,-1
223,204,621,-1
224,204,622,-1
225,204,623,-1
226,204,626,-1
227,204,629,-1
228,204,630,-1
229,204,631,-1
230,204,633,-1
231,204,634,-1
232,204,620,-1
233,204,603,-1
234,204,666,-1
235,204,669,-1
236,204,704,-1
237,204,705,-1
238,204,709,-1
239,204,710,-1
240,204,711,-1
241,204,712,-1
242,204,713,-1
243,204,714,-1
244,204,715,-1
245,204,717,-1
246,204,718,-1
247,204,720,-1
248,204,721,-1
249,204,723,-1
250,204,724,-1
251,204,725,-1
252,204,726,-1
253,204,729,-1
254,204,730,-1
255,204,703,-1
256,204,702,-1
257,204,701,-1
258,204,700,-1
259,204,670,-1
260,204,671,-1
261,204,674,-1
262,204,675,-1
263,204,678,-1
264,204,679,-1
265,204,680,-1
266,204,681,-1
267,204,682,-1
268,204,667,-1
269,204,684,-1
270,204,687,-1
271,204,688,-1
272,204,690,-1
273,204,691,-1
274,204,692,-1
275,204,694,-1
276,204,695,-1
277,204,697,-1
278,204,699,-1
279,204,685,-1
280,204,602,-1
281,204,601,-1
282,204,600,-1
283,203,732,-1
284,203,733,-1
285,203,734,-1
286,203,735,-1
287,203,736,-1
288,203,738,-1
289,203,739,-1
290,203,740,-1
291,203,741,-1
292,203,742,-1
293,203,743,-1
294,203,745,-1
295,203,746,-1
296,203,747,-1
297,203,748,-1
298,203,749,-1
299,203,750,-1
300,203,752,-1
301,203,753,-1
302,203,730,-1
303,203,729,-1
304,203,728,-1
305,203,727,-1
306,203,700,-1
307,203,701,-1
308,203,702,-1
309,203,703,-1
310,203,705,-1
311,203,706,-1
312,203,707,-1
313,203,711,-1
314,203,712,-1
315,203,754,-1
316,203,713,-1
317,203,715,-1
318,203,716,-1
319,203,717,-1
320,203,718,-1
321,203,719,-1
322,203,721,-1
323,203,722,-1
324,203,723,-1
325,203,724,-1
326,203,714,-1
327,203,755,-1
328,203,756,-1
329,203,757,-1
330,204,573,-1
331,204,576,-1
332,204,577,-1
333,204,578,-1
334,204,580,-1
335,204,582,-1
336,204,583,-1
337,204,584,-1
338,204,586,-1
339,204,571,-1
340,204,587,-1
341,204,589,-1
342,204,591,-1
343,204,592,-1
344,204,594,-1
345,204,595,-1
346,204,596,-1
347,204,597,-1
348,204,598,-1
349,204,599,-1
350,204,588,-1
351,201,777,-1
352,204,570,-1
353,204,568,-1
354,203,761,-1
355,203,763,-1
356,203,766,-1
357,203,767,-1
358,203,770,-1
359,203,771,-1
360,203,772,-1
361,203,773,-1
362,203,774,-1
363,204,569,-1
364,203,775,-1
365,203,777,-1
366,203,778,-1
367,203,780,-1
368,203,781,-1
369,203,784,-1
370,203,785,-1
371,203,786,-1
372,203,788,-1
373,203,789,-1
374,203,776,-1
375,201,776,-1
376,201,775,-1
377,201,773,-1
378,200,652,-1
379,200,653,-1
380,200,654,-1
381,200,655,-1
382,200,656,-1
383,200,657,-1
384,200,659,-1
385,200,661,-1
386,200,663,-1
387,200,664,-1
388,200,667,-1
389,200,668,-1
390,200,669,-1
391,200,670,-1
392,200,671,-1
393,200,672,-1
394,200,673,-1
395,200,674,-1
396,200,676,-1
397,200,650,-1
398,200,649,-1
399,200,648,-1
400,200,646,-1
401,200,623,-1
402,200,624,-1
403,200,625,-1
404,200,626,-1
405,200,627,-1
406,200,628,-1
407,200,629,-1
408,200,630,-1
409,200,631,-1
410,200,677,-1
411,200,632,-1
412,200,635,-1
413,200,636,-1
414,200,637,-1
415,200,638,-1
416,200,639,-1
417,200,641,-1
418,200,643,-1
419,200,644,-1
420,200,645,-1
421,200,634,-1
422,200,620,-1
423,200,678,-1
424,200,680,-1
425,200,712,-1
426,200,713,-1
427,200,714,-1
428,200,715,-1
429,200,716,-1
430,200,718,-1
431,200,719,-1
432,200,720,-1
433,200,722,-1
434,200,723,-1
435,200,724,-1
436,200,725,-1
437,200,727,-1
438,200,728,-1
439,200,729,-1
440,200,730,-1
441,200,731,-1
442,200,732,-1
443,200,733,-1
444,200,711,-1
445,200,709,-1
446,200,708,-1
447,200,707,-1
448,200,681,-1
449,200,682,-1
450,200,683,-1
451,200,684,-1
452,200,685,-1
453,200,686,-1
454,200,688,-1
455,200,689,-1
456,200,690,-1
457,200,679,-1
458,200,692,-1
459,200,695,-1
460,200,696,-1
461,200,697,-1
462,200,698,-1
463,200,701,-1
464,200,702,-1
465,200,703,-1
466,200,705,-1
467,200,706,-1
468,200,694,-1
469,200,616,-1
470,200,614,-1
471,200,612,-1
472,199,746,-1
473,199,748,-1
474,199,751,-1
475,199,753,-1
476,199,754,-1
477,199,755,-1
478,199,758,-1
479,199,759,-1
480,199,760,-1
481,199,761,-1
482,199,764,-1
483,199,765,-1
484,199,767,-1
485,199,769,-1
486,199,770,-1
487,199,773,-1
488,199,774,-1
489,199,775,-1
490,199,776,-1
491,199,742,-1
492,199,740,-1
493,199,739,-1
494,199,738,-1
495,199,703,-1
496,199,704,-1
497,199,705,-1
498,199,709,-1
499,199,710,-1
500,199,711,-1
501,199,712,-1
502,199,718,-1
503,199,720,-1
504,199,777,-1
505,199,723,-1
506,199,726,-1
507,199,728,-1
508,199,729,-1
509,199,730,-1
510,199,731,-1
511,199,732,-1
512,199,734,-1
513,199,735,-1
514,199,736,-1
515,199,725,-1
516,199,778,-1
517,199,780,-1
518,199,781,-1
519,200,590,-1
520,200,591,-1
521,200,592,-1
522,200,593,-1
523,200,594,-1
524,200,595,-1
525,200,596,-1
526,200,597,-1
527,200,598,-1
528,200,588,-1
529,200,600,-1
530,200,603,-1
531,200,604,-1
532,200,605,-1
533,200,606,-1
534,200,607,-1
535,200,608,-1
536,200,609,-1
537,200,610,-1
538,200,611,-1
539,200,602,-1
540,200,734,-1
541,200,586,-1
542,200,584,-1
543,199,783,-1
544,199,784,-1
545,199,786,-1
546,199,787,-1
547,199,788,-1
548,199,789,-1
549,200,568,-1
550,200,569,-1
551,200,570,-1
552,200,585,-1
553,200,571,-1
554,200,573,-1
555,200,574,-1
556,200,575,-1
557,200,576,-1
558,200,577,-1
559,200,578,-1
560,200,579,-1
561,200,581,-1
562,200,582,-1
563,200,572,-1
564,204,731,-1
565,200,735,-1
566,200,738,-1
567,201,688,-1
568,201,689,-1
569,201,690,-1
570,201,691,-1
571,201,692,-1
572,201,693,-1
573,201,694,-1
574,201,695,-1
575,201,700,-1
576,201,701,-1
577,201,702,-1
578,201,703,-1
579,201,704,-1
580,201,705,-1
581,201,709,-1
582,201,710,-1
583,201,711,-1
584,201,712,-1
585,201,713,-1
586,201,687,-1
587,201,685,-1
588,201,684,-1
589,201,682,-1
590,201,654,-1
591,201,655,-1
592,201,656,-1
593,201,657,-1
594,201,658,-1
595,201,659,-1
596,201,660,-1
597,201,661,-1
598,201,662,-1
599,201,714,-1
600,201,663,-1
601,201,665,-1
602,201,666,-1
603,201,669,-1
604,201,671,-1
605,201,674,-1
606,201,675,-1
607,201,678,-1
608,201,679,-1
609,201,680,-1
610,201,664,-1
611,201,653,-1
612,201,715,-1
613,201,718,-1
614,201,749,-1
615,201,750,-1
616,201,751,-1
617,201,752,-1
618,201,753,-1
619,201,754,-1
620,201,755,-1
621,201,756,-1
622,201,757,-1
623,201,758,-1
624,201,759,-1
625,201,760,-1
626,201,764,-1
627,201,765,-1
628,201,766,-1
629,201,767,-1
